1,800998	1,972245	the
1,972245	2,390204	missile
2,390204	2,767528	knows
2,761723	2,898141	where
2,924263	3,015692	it
3,015692	3,371247	is
3,371247	3,475737	at
3,475737	3,877732	all
4,075102	4,948753	times
4,948753	5,115646	it
5,115646	5,456689	knows
5,456689	5,701950	this
5,696145	6,012517	because
6,012517	6,127166	it
6,127166	6,510295	knows
6,510295	6,638005	where
6,638005	6,787483	it
6,787483	7,574059	isn't
7,574059	8,095057	by
8,095057	8,877279	subtracting
8,877279	9,060136	where
9,060136	9,176236	it
9,176236	9,704490	is
9,710295	9,912018	from
9,912018	10,099229	where
10,099229	10,184853	it
10,184853	10,765351	isn't
10,765351	11,078821	or
11,078821	11,245714	where
11,280544	11,414059	it
11,414059	11,890068	isn't
11,890068	12,085986	from
12,085986	12,277551	where
12,277551	12,341406	it
12,341406	12,882721	is
12,882721	13,265850	whichever
13,265850	13,442902	is
13,442902	13,918912	greater
13,918912	14,439909	it
14,439909	15,084263	obtains
15,084263	15,270023	a
15,270023	15,798277	difference
15,798277	16,039184	or
16,039184	16,880907	deviation
16,880907	17,031837	...
